"ISO","RFB"
"AFG","LIC"
"AFG","LIFDC"
"AFG","LDC"
"AFG","LLDC"
"AFG","NFIDC"
"ALB","EIFAAC"
"ALB","GFCM"
"ALB","ICCAT"
"DZA","GFCM"
"DZA","ICCAT"
"ASM","SIDS"
"AGO","CECAF"
"AGO","ICCAT"
"AGO","LDC"
"AGO","NFIDC"
"AGO","SEAFO"
"ARG","CCAMLR"
"ARG","COPPESAALC"
"AUS","APFIC"
"AUS","CCAMLR"
"AUS","FFA"
"AUS","IOTC"
"AUS","CA"
"AUS","OECD"
"AUT","EIFAAC"
"AUT","EU(28)"
"AUT","OECD"
"BHS","WECAFC"
"BHS","SIDS"
"BHR","RECOFI"
"BHR","SIDS"
"BGD","APFIC"
"BGD","LIFDC"
"BGD","LDC"
"BGD","NFIDC"
"BGD","CA"
"ARM","LLDC"
"ARM","CIS"
"BRB","ICCAT"
"BRB","WECAFC"
"BRB","SIDS"
"BRB","NFIDC"
"BEL","CCAMLR"
"BEL","EIFAAC"
"BEL","ICES"
"BEL","EU(28)"
"BEL","OECD"
"BMU","ICCAT"
"BMU","WECAFC"
"BMU","SIDS"
"BTN","LDC"
"BTN","LLDC"
"BTN","NFIDC"
"BOL","COPPESAALC"
"BOL","LLDC"
"BIH","EIFAAC"
"BWA","CIFAA"
"BWA","LLDC"
"BWA","NFIDC"
"BRA","CCAMLR"
"BRA","COPPESAALC"
"BRA","ICCAT"
"BRA","WECAFC"
"BLZ","ICCAT"
"BLZ","WECAFC"
"BLZ","SIDS"
"SLB","FFA"
"SLB","LIFDC"
"SLB","LDC"
"SLB","SIDS"
"SLB","NFIDC"
"VGB","ICCAT"
"VGB","WECAFC"
"VGB","SIDS"
"BRN","SEAFDEC"
"BGR","EIFAAC"
"BGR","GFCM"
"BGR","EU(28)"
"MMR","APFIC"
"MMR","SEAFDEC"
"MMR","LDC"
"MMR","NFIDC"
"MMR","CA"
"BDI","CIFAA"
"BDI","LIC"
"BDI","LIFDC"
"BDI","LDC"
"BDI","LLDC"
"BDI","NFIDC"
"BLR","CIS"
"KHM","APFIC"
"KHM","SEAFDEC"
"KHM","LDC"
"KHM","NFIDC"
"KHM","CA"
"CMR","CECAF"
"CMR","CIFAA"
"CMR","COREP"
"CMR","LIFDC"
"CMR","AF"
"CAN","ICCAT"
"CAN","ICES"
"CAN","FO"
"CAN","SCO"
"CAN","NPAFC"
"CAN","OECD"
"CPV","CECAF"
"CPV","ICCAT"
"CPV","SRCF"
"CPV","SIDS"
"CYM","WECAFC"
"CYM","SIDS"
"CAF","CIFAA"
"CAF","LIC"
"CAF","LIFDC"
"CAF","LDC"
"CAF","LLDC"
"CAF","NFIDC"
"LKA","APFIC"
"LKA","IOTC"
"LKA","NFIDC"
"LKA","CA"
"TCD","CIFAA"
"TCD","LIC"
"TCD","LIFDC"
"TCD","LDC"
"TCD","LLDC"
"TCD","NFIDC"
"CHL","CCAMLR"
"CHL","COPPESAALC"
"CHL","CPPS"
"CHL","OECD"
"CHN","APFIC"
"CHN","CCAMLR"
"CHN","ICCAT"
"CHN","IOTC"
"CHN","CA"
"TWN","APFIC"
"TWN","CCAMLR"
"TWN","ICCAT"
"TWN","IOTC"
"COL","COPPESAALC"
"COL","CPPS"
"COL","WECAFC"
"COM","IOTC"
"COM","LIC"
"COM","LIFDC"
"COM","LDC"
"COM","SIDS"
"COM","NFIDC"
"COM","SWIOFC"
"MYT","SWIOFC"
"COG","CECAF"
"COG","CIFAA"
"COG","COREP"
"COG","LIFDC"
"COD","CECAF"
"COD","CIFAA"
"COD","COREP"
"COD","LIC"
"COD","LIFDC"
"COD","LDC"
"COD","NFIDC"
"COK","FFA"
"COK","SIDS"
"CRI","COPPESAALC"
"CRI","WECAFC"
"HRV","EIFAAC"
"HRV","GFCM"
"HRV","EU(28)"
"CUB","CECAF"
"CUB","COPPESAALC"
"CUB","FO"
"CUB","WECAFC"
"CUB","SIDS"
"CUB","NFIDC"
"CYP","EIFAAC"
"CYP","GFCM"
"CYP","EU(28)"
"CZE","EIFAAC"
"CZE","EU(28)"
"CZE","OECD"
"BEN","CECAF"
"BEN","CIFAA"
"BEN","LIC"
"BEN","LIFDC"
"BEN","LDC"
"BEN","NFIDC"
"BEN","FCWC"
"DNK","EIFAAC"
"DNK","ICES"
"DNK","EU(28)"
"DNK","OECD"
"DMA","WECAFC"
"DMA","SIDS"
