"ISO3","RFB"
"ABW","WECAFC"
"ABW","SIDS"
"AFG","LIC"
"AFG","LIFDC"
"AFG","LDC"
"AFG","LLDC"
"AFG","NFIDC"
"AGO","CECAF"
"AGO","ICCAT"
"AGO","LDC"
"AGO","NFIDC"
"AGO","SEAFO"
"AIA","ICCAT"
"AIA","WECAFC"
"AIA","SIDS"
"ALB","EIFAAC"
"ALB","GFCM"
"ALB","ICCAT"
"ARE","GFCM"
"ARE","ICCAT"
"ARE","NFIDC"
"ARG","CCAMLR"
"ARG","COPPESAALC"
"ARM","LLDC"
"ARM","CIS"
"ASM","SIDS"
"ATG","WECAFC"
"ATG","SIDS"
"ATG","NFIDC"
"AUS","APFIC"
"AUS","CCAMLR"
"AUS","FFA"
"AUS","IOTC"
"AUS","CA"
"AUS","OECD"
"AUT","EIFAAC"
"AUT","EU(28)"
"AUT","OECD"
"AZE","LLDC"
"AZE","CIS"
"BDI","CIFAA"
"BDI","LIC"
"BDI","LIFDC"
"BDI","LDC"
"BDI","LLDC"
"BDI","NFIDC"
"BEL","CCAMLR"
"BEL","EIFAAC"
"BEL","ICES"
"BEL","EU(28)"
"BEL","OECD"
"BEN","CECAF"
"BEN","CIFAA"
"BEN","LIC"
"BEN","LIFDC"
"BEN","LDC"
"BEN","NFIDC"
"BEN","FCWC"
"BES","WECAFC"
"BES","SIDS"
"BFA","CCAMLR"
"BFA","COPPESAALC"
"BFA","ICCAT"
"BGD","APFIC"
"BGD","LIFDC"
"BGD","LDC"
"BGD","NFIDC"
"BGD","CA"
"BGR","EIFAAC"
"BGR","GFCM"
"BGR","EU(28)"
"BHR","RECOFI"
"BHR","SIDS"
"BHS","WECAFC"
"BHS","SIDS"
"BIH","EIFAAC"
"BLM","WECAFC"
"BLR","CIS"
"BLZ","ICCAT"
"BLZ","WECAFC"
"BLZ","SIDS"
"BMU","ICCAT"
"BMU","WECAFC"
"BMU","SIDS"
"BOL","COPPESAALC"
"BOL","LLDC"
"BRA","CCAMLR"
"BRA","COPPESAALC"
"BRA","ICCAT"
"BRA","WECAFC"
"BRB","ICCAT"
"BRB","WECAFC"
"BRB","SIDS"
"BRB","NFIDC"
"BRN","SEAFDEC"
"BTN","LDC"
"BTN","LLDC"
"BTN","NFIDC"
"BWA","CIFAA"
"BWA","LLDC"
"BWA","NFIDC"
"CAF","CIFAA"
"CAF","LIC"
"CAF","LIFDC"
"CAF","LDC"
"CAF","LLDC"
"CAF","NFIDC"
"CAN","ICCAT"
"CAN","ICES"
"CAN","FO"
"CAN","SCO"
"CAN","NPAFC"
"CAN","OECD"
"CHE","GFCM"
"CHE","ICCAT"
"CHE","LIFDC"
"CHL","CCAMLR"
"CHL","COPPESAALC"
"CHL","CPPS"
"CHL","OECD"
"CHN","APFIC"
"CHN","CCAMLR"
"CHN","ICCAT"
"CHN","IOTC"
"CHN","CA"
"CIV","CECAF"
"CIV","CIFAA"
"CIV","ICCAT"
"CIV","LIFDC"
"CIV","NFIDC"
"CIV","FCWC"
"CMR","CECAF"
"CMR","CIFAA"
"CMR","COREP"
"CMR","LIFDC"
"CMR","AF"
"COD","CECAF"
"COD","CIFAA"
"COD","COREP"
"COD","LIC"
"COD","LIFDC"
"COD","LDC"
"COD","NFIDC"
"COG","CECAF"
"COG","CIFAA"
"COG","COREP"
"COG","LIFDC"
"COK","FFA"
"COK","SIDS"
"COL","COPPESAALC"
"COL","CPPS"
"COL","WECAFC"
"COM","IOTC"
"COM","LIC"
"COM","LIFDC"
"COM","LDC"
"COM","SIDS"
"COM","NFIDC"
"COM","SWIOFC"
"CPV","CECAF"
"CPV","ICCAT"
"CPV","SRCF"
"CPV","SIDS"
"CRI","COPPESAALC"
"CRI","WECAFC"
"CUB","CECAF"
"CUB","COPPESAALC"
"CUB","FO"
"CUB","WECAFC"
"CUB","SIDS"
"CUB","NFIDC"
"CUW","ICCAT"
"CUW","WECAFC"
"CUW","SIDS"
"CYM","WECAFC"
"CYM","SIDS"
"CYP","EIFAAC"
"CYP","GFCM"
"CYP","EU(28)"
"CZE","EIFAAC"
"CZE","EU(28)"
"CZE","OECD"
"DEU","CCAMLR"
"DEU","EIFAAC"
"DEU","ICES"
"DEU","EU(28)"
"DEU","OECD"
"DJI","LIFDC"
"DJI","LDC"
"DJI","NFIDC"
"DMA","WECAFC"
"DMA","SIDS"
"DMA","NFIDC"
"DNK","EIFAAC"
"DNK","ICES"
"DNK","EU(28)"
"DNK","OECD"
"DOM","COPPESAALC"
"DOM","WECAFC"
"DOM","SIDS"
"DOM","NFIDC"
"DZA","GFCM"
"DZA","ICCAT"
"EAZ","APFIC"
"EAZ","CCAMLR"
"EAZ","CECAF"
"EAZ","ICCAT"
"EAZ","ICES"
"EAZ","FO"
"EAZ","SCO"
"EAZ","NPAFC"
"EAZ","WECAFC"
"EAZ","OECD"
"ECU","COPPESAALC"
"ECU","CPPS"
"EGY","APFIC"
"EGY","CCAMLR"
"EGY","EIFAAC"
"EGY","ICES"
"EGY","IOTC"
"EGY","WECAFC"
"EGY","EU(28)"
"EGY","OECD"
"ERI","CIFAA"
"ERI","IOTC"
"ERI","LIC"
"ERI","LIFDC"
"ERI","LDC"
"ERI","NFIDC"
"ESP","CCAMLR"
"ESP","CECAF"
"ESP","EIFAAC"
"ESP","GFCM"
"ESP","ICES"
"ESP","WECAFC"
"ESP","EU(28)"
"ESP","OECD"
"EST","EIFAAC"
"EST","ICES"
"EST","EU(28)"
"EST","OECD"
"ETH","CIFAA"
"ETH","LIC"
"ETH","LIFDC"
"ETH","LDC"
"ETH","LLDC"
"ETH","NFIDC"
"FIN","EIFAAC"
"FIN","ICES"
"FIN","EU(28)"
"FIN","OECD"
"FJI","FFA"
"FJI","SIDS"
"FRA","APFIC"
"FRA","CCAMLR"
"FRA","CECAF"
"FRA","EIFAAC"
"FRA","GFCM"
"FRA","ICES"
"FRA","IOTC"
"FRA","WECAFC"
"FRA","EU(28)"
"FRA","SWIOFC"
"FRA","OECD"
"FRO","ICES"
"FRO","FO"
"FRO","SCO"
"FRO","NEAFC"
"FSM","FFA"
"FSM","SIDS"
"GAB","CECAF"
"GAB","CIFAA"
"GAB","COREP"
"GAB","ICCAT"
"GAB","NFIDC"
"GEO","CIS"
"GHA","CECAF"
"GHA","CIFAA"
"GHA","ICCAT"
"GHA","LIFDC"
"GHA","FCWC"
"GHA","AF"
"GIN","CECAF"
"GIN","CIFAA"
"GIN","ICCAT"
"GIN","IOTC"
"GIN","SRCF"
"GIN","WECAFC"
"GIN","LIC"
"GIN","LIFDC"
"GIN","LDC"
"GIN","NFIDC"
"GLP","WECAFC"
"GLP","SIDS"
"GMB","CECAF"
"GMB","CIFAA"
"GMB","SRCF"
"GMB","LIC"
"GMB","LIFDC"
"GMB","LDC"
"GMB","NFIDC"
"GNB","CECAF"
"GNB","ICCAT"
"GNB","SRCF"
"GNB","LIC"
"GNB","LIFDC"
"GNB","LDC"
"GNB","SIDS"
"GNB","NFIDC"
"GNQ","CECAF"
"GNQ","ICCAT"
"GRC","CECAF"
"GRC","EIFAAC"
"GRC","GFCM"
"GRC","EU(28)"
"GRC","OECD"
"GRD","ICCAT"
"GRD","WECAFC"
"GRD","SIDS"
"GRD","NFIDC"
"GRL","ICES"
"GRL","FO"
"GRL","SCO"
"GRL","NEAFC"
"GTM","COPPESAALC"
